dat00112	time_10000
dat00109	time_12000
dat00108	time_13000
dat00107	time_14000
dat00106	time_15000
dat00105	time_16000
dat00104	time_17000
dat00103	time_18000
dat00111	time_30000
dat00102	time_33000
dat00101	time_34000
dat00100	time_35000
dat00089	time_36000
dat00090	time_36100
dat00091	time_36200
dat00092	time_36300
dat00093	time_36400
dat00094	time_36500
dat00095	time_36600
dat00096	time_36700
dat00097	time_36800
dat00098	time_36900
dat00099	time_36950
dat00078	time_37000
dat00079	time_37100
dat00080	time_37200
dat00081	time_37300
dat00082	time_37400
dat00083	time_37500
dat00084	time_37600
dat00085	time_37700
dat00086	time_37800
dat00087	time_37900
dat00088	time_37950
dat00067	time_38000
dat00068	time_38100
dat00069	time_38200
dat00070	time_38300
dat00071	time_38400
dat00072	time_38500
dat00073	time_38600
dat00074	time_38700
dat00075	time_38800
dat00076	time_38900
dat00077	time_38950
dat00056	time_39000
dat00057	time_39100
dat00066	time_39200
dat00065	time_39300
dat00064	time_39400
dat00063	time_39500
dat00062	time_39600
dat00061	time_39700
dat00060	time_39800
dat00059	time_39900
dat00058	time_39950
dat00110	time_60000
dat00055	time_60100
dat00054	time_60200
dat00053	time_60300
dat00052	time_60400
dat00051	time_60500
dat00050	time_60600
dat00049	time_60700
dat00048	time_60800
dat00047	time_60900
dat00046	time_61000
dat00043	time_61100
dat00044	time_61105
dat00045	time_61145
dat00040	time_61200
dat00041	time_61205
dat00042	time_61245
dat00037	time_61300
dat00038	time_61305
dat00039	time_61345
dat00034	time_61400
dat00035	time_61405
dat00036	time_61445
dat00031	time_61500
dat00032	time_61505
dat00033	time_61545
dat00028	time_61600
dat00029	time_61605
dat00030	time_61645
dat00025	time_61700
dat00026	time_61705
dat00027	time_61745
dat00020	time_61800
dat00021	time_61807
dat00022	time_61825
dat00023	time_61847
dat00024	time_61875
dat00015	time_61900
dat00016	time_61907
dat00017	time_61925
dat00018	time_61947
dat00019	time_61975
dat00004	time_62000
dat00005	time_62010
dat00006	time_62020
dat00007	time_62030
dat00008	time_62040
dat00009	time_62050
dat00010	time_62060
dat00011	time_62070
dat00012	time_62080
dat00013	time_62090
dat00014	time_62095
dat00001	time_62100
dat00002	time_62110
dat00003	time_62120
